pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,B-ReKV t=0.95 s=0.75 w8,200,0.135,173,0.865,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.75_w8_0630_0842
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,ReKV-w16 r=0.5,150,0.393333,91,0.606667,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.5_0630_0653
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,ReKV-w8 r=0.7,150,0.4,90,0.6,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.7_0630_0633
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,ReKV-w8 r=0.5,150,0.426667,86,0.573333,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.5_0630_0622
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,ReKV-w8 r=0.3,150,0.38,93,0.62,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0630_0612
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,ReKV-w16 r=0.3,150,0.393333,91,0.606667,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0630_0643
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,ReKV-w16 r=0.7,150,0.4,90,0.6,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.7_0630_0703
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,150,0.38,93,0.62,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_0630_0722
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,150,0.393333,91,0.606667,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0630_0713
table1_pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV t=0.95 s=0.90 w16,150,0.373333,94,0.626667,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_0630_0732
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,ReKV-w8 r=0.3,500,0.396,302,0.604,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w8_r0.3_0629_1839
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,ReKV-w16 r=0.5,500,0.442,279,0.558,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w16_r0.5_0629_2124
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,ReKV-w16 r=0.3,500,0.376,312,0.624,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w16_r0.3_0629_2036
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,ReKV-w8 r=0.7,500,0.504,248,0.496,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w8_r0.7_0629_2000
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,ReKV-w16 r=0.7,500,0.498,251,0.502,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w16_r0.7_0629_2157
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,ReKV-w8 r=0.5,500,0.454,273,0.546,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w8_r0.5_0629_1922
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.98 s=0.65 w16,500,0.408,296,0.592,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.65_w16_0702_2039
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.65 w8,500,0.41,295,0.59,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.65_w8_0702_1844
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.98 s=0.75 w16,500,0.414,293,0.586,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.75_w16_0702_2050
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.90 s=0.65 w16,500,0.292,354,0.708,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.65_w16_0702_1924
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.98 s=0.65 w8,500,0.444,278,0.556,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.65_w8_0702_1855
