task,method,fraction,n,score,skyline,recovered_skyline,bytes_mean,bytes_mb,a2b_mb,budget_mean,run_dir
musique,recv_layer,0.1,200,0.01,0.535,0.0187,8250042.0,8.25,6.1524,0.12780226499999997,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/recv_layer/recv_layer_f0.1_0729_1337
musique,recv_layer,0.3,200,0.05,0.535,0.0935,17280825.0,17.2808,15.1832,0.3147017350000001,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/recv_layer/recv_layer_f0.3_0729_1352
musique,recv_layer,0.5,200,0.095,0.535,0.1776,27816738.5,27.8167,25.7191,0.532751195,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/recv_layer/recv_layer_f0.5_0729_1404
musique,evict,0.1,200,0.12,0.535,0.2243,6190336.0,6.1903,6.1903,0.12822374000000003,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/evict/evict_r0.1_0729_1342
musique,evict,0.3,200,0.36,0.535,0.6729,15546167.0,15.5462,15.5462,0.32184705499999994,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/evict/evict_r0.3_0729_1355
musique,evict,0.5,200,0.435,0.535,0.8131,24901362.5,24.9014,24.9014,0.5156212099999999,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/evict/evict_r0.5_0729_1406
musique,rekv,0.1,200,0.15,0.535,0.2804,8288008.0,8.288,6.1903,0.12822374000000003,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/rekv/rekv_w8_r0.1_0729_1344
musique,rekv,0.3,200,0.36,0.535,0.6729,17643839.0,17.6438,15.5462,0.32184705499999994,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/rekv/rekv_w8_r0.3_0729_1357
musique,rekv,0.5,200,0.47,0.535,0.8785,26999034.5,26.999,24.9014,0.5156212099999999,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/rekv/rekv_w8_r0.5_0729_1408
musique,rekv_shuffled,0.1,200,0.075,0.535,0.1402,8288008.0,8.288,6.1903,0.12822374000000003,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/rekv_shuffled/rekv_shuffled_w8_r0.1_0729_1456
musique,rekv_shuffled,0.3,200,0.25,0.535,0.4673,17643839.0,17.6438,15.5462,0.32184705499999994,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/rekv_shuffled/rekv_shuffled_w8_r0.3_0729_1410
musique,rekv_shuffled,0.5,200,0.36,0.535,0.6729,26999034.5,26.999,24.9014,0.5156212099999999,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/rekv_shuffled/rekv_shuffled_w8_r0.5_0729_1458
