dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
tipsheets,evict_r0.3_cost_0703_0152,495,0.00404,0.324869,0.324869,2.006,112.929293,86.969697,10.0,0.034603,0.0,0.503514,0.539881,28.451819,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/mtc_evict/evict_r0.3_cost_0703_0152
tipsheets,random_r0.3_cost_0703_0157,495,0.068687,0.324869,0.324869,2.006,112.929293,86.969697,9.367677,0.03358,0.0,0.443941,0.479076,28.451602,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/mtc_random/random_r0.3_cost_0703_0157
tmath,B-ReKV t=0.95 s=0.75 w8,295,0.330207,0.308201,0.308201,3.649,217.80339,115.125424,256.0,0.043427,0.049559,15.080748,15.176229,28.653936,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/coverage/cov_t0.95_s0.75_w8_cost_0704_0015
tmath,B-ReKV t=0.95 s=0.85 w8,295,0.328554,0.343282,0.343282,4.065,217.80339,115.125424,256.0,0.044023,0.054321,15.655179,15.756062,28.654338,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/coverage/cov_t0.95_s0.85_w8_cost_0704_0135
tmath,B-ReKV t=0.95 s=0.90 w16,295,0.329538,0.369575,0.369575,4.412,217.80339,115.125424,256.0,0.044828,0.062097,16.520882,16.630661,28.654665,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/coverage/cov_t0.95_s0.90_w16_cost_0704_0257
tmath,KVComm top=0.3,295,0.277428,0.32474,0.32474,3.866,217.80339,115.125424,255.986441,0.043906,0.0,13.592374,13.638917,28.65294,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/kvcomm/kvcomm_top0.3_cost_0703_1541
tmath,KVComm top=0.5,295,0.30828,0.53798,0.53798,6.406,217.80339,115.125424,255.383051,0.043799,0.0,13.507123,13.553506,28.655018,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/kvcomm/kvcomm_top0.5_cost_0703_1650
tmath,KVComm top=0.7,295,0.321881,0.71568,0.71568,8.524,217.80339,115.125424,256.0,0.043681,0.0,13.474781,13.520656,28.65747,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/kvcomm/kvcomm_top0.7_cost_0703_1758
tmath,ReKV-w16 r=0.3,295,0.331066,0.324926,0.324926,3.87,217.80339,115.125424,256.0,0.043388,0.044092,15.030326,15.120346,28.654144,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/mtc_receiver/recv_w16_r0.3_cost_0703_2257
tmath,ReKV-w8 r=0.3,295,0.327187,0.324926,0.324926,3.87,217.80339,115.125424,256.0,0.043547,0.044351,15.120502,15.210622,28.654144,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/mtc_receiver/recv_w8_r0.3_cost_0703_2141
tmath,evict_r0.3_cost_0703_1906,295,0.329378,0.324926,0.324926,3.87,217.80339,115.125424,256.0,0.043613,0.0,15.431889,15.477594,28.583078,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/mtc_evict/evict_r0.3_cost_0703_1906
tmath,random_r0.3_cost_0703_2024,295,0.328407,0.324926,0.324926,3.87,217.80339,115.125424,256.0,0.043599,0.0,15.147416,15.193411,28.583078,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tmath/mtc_random/random_r0.3_cost_0703_2024
twowikimqa,B-ReKV t=0.95 s=0.75 w8,195,0.133333,0.188526,0.188526,76.957,7558.866667,67.984615,23.497436,1.23128,0.099277,1.062211,2.419995,31.582246,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/coverage/cov_t0.95_s0.75_w8_cost_0703_1515
twowikimqa,B-ReKV t=0.95 s=0.85 w8,195,0.14359,0.208248,0.208248,84.925,7558.866667,67.984615,22.471795,1.232363,0.099016,1.021581,2.377801,31.584466,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/coverage/cov_t0.95_s0.85_w8_cost_0703_1523
twowikimqa,B-ReKV t=0.95 s=0.90 w16,195,0.112821,0.281164,0.281164,113.584,7558.866667,67.984615,23.276923,1.232225,0.098893,1.083347,2.440092,31.594608,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/coverage/cov_t0.95_s0.90_w16_cost_0703_1532
twowikimqa,KVComm top=0.3,195,0.035897,0.321547,0.321547,132.908,7558.866667,67.984615,24.728205,1.235965,0.0,0.966197,2.2287,31.214908,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/kvcomm/kvcomm_top0.3_cost_0703_1413
twowikimqa,KVComm top=0.5,195,0.092308,0.535795,0.535795,221.477,7558.866667,67.984615,26.251282,1.236909,0.0,1.147204,2.409033,31.325145,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/kvcomm/kvcomm_top0.5_cost_0703_1421
twowikimqa,KVComm top=0.7,195,0.148718,0.714335,0.714335,295.284,7558.866667,67.984615,18.994872,1.236081,0.0,0.900991,2.163076,31.414757,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/kvcomm/kvcomm_top0.7_cost_0703_1430
twowikimqa,ReKV-w16 r=0.3,195,0.133333,0.325002,0.325002,134.347,7558.866667,67.984615,23.815385,1.231641,0.09301,1.144294,2.495869,31.608248,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/mtc_receiver/recv_w16_r0.3_cost_0703_1506
twowikimqa,ReKV-w8 r=0.3,195,0.148718,0.325002,0.325002,134.347,7558.866667,67.984615,22.502564,1.23167,0.092946,1.082479,2.432056,31.608137,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/mtc_receiver/recv_w8_r0.3_cost_0703_1457
twowikimqa,evict_r0.3_cost_0703_1438,195,0.035897,0.325002,0.325002,134.347,7558.866667,67.984615,31.082051,1.232824,0.0,1.52823,2.7873,31.163751,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/mtc_evict/evict_r0.3_cost_0703_1438
twowikimqa,random_r0.3_cost_0703_1447,195,0.041026,0.325002,0.325002,134.347,7558.866667,67.984615,30.061538,1.231752,0.0,1.46873,2.725783,31.163648,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/twowikimqa/mtc_random/random_r0.3_cost_0703_1447
