policy,group,n_cells,n_samples,brekv_score,brekv_budget,fixed_score,fixed_budget,score_delta,budget_delta,lower_ratio,upper_ratio,interpolation_weight,pair,task
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/hotpotqa,1,500,0.41,0.28858004399999987,0.608,0.6126319660000008,-0.198,-0.32405192200000094,0.6,0.6,0.0,pair5_evolcodellama_toolace,hotpotqa
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/qasper,1,500,0.222,0.38363950800000024,0.20770676660686038,0.38363950800000024,0.014293233393139615,0.0,0.35,0.4,0.27524166453072796,pair5_evolcodellama_toolace,qasper
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/qasper,1,500,0.222,0.38363950800000024,0.24,0.612502688000002,-0.018,-0.22886318000000172,0.6,0.6,0.0,pair5_evolcodellama_toolace,qasper
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/musique,1,500,0.25,0.3020290919999999,0.26936396695572007,0.3020290919999999,-0.019363966955720024,0.0,0.25,0.3,0.5909218059892318,pair5_evolcodellama_toolace,musique
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/musique,1,500,0.25,0.3020290919999999,0.338,0.6124955300000012,-0.088,-0.31046643800000134,0.6,0.6,0.0,pair5_evolcodellama_toolace,musique
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/multifieldqa_en,1,150,0.54,0.35942132666666665,0.5140085454416329,0.3594213266666667,0.0259914545583671,-5.551115123125783e-17,0.3,0.35,0.7753204540612336,pair5_evolcodellama_toolace,multifieldqa_en
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/multifieldqa_en,1,150,0.54,0.35942132666666665,0.5733333333333334,0.515613286666667,-0.03333333333333333,-0.1561919600000003,0.5,0.5,0.0,pair5_evolcodellama_toolace,multifieldqa_en
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/twowikimqa,1,200,0.335,0.37488859999999996,0.35905581254874536,0.37488859999999996,-0.024055812548745323,0.0,0.35,0.4,0.09441874512546754,pair5_evolcodellama_toolace,twowikimqa
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/twowikimqa,1,200,0.335,0.37488859999999996,0.39,0.6124945549999999,-0.055,-0.23760595499999998,0.6,0.6,0.0,pair5_evolcodellama_toolace,twowikimqa
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/tmath,1,300,0.3561504766666666,0.2803039199999999,0.3534620160602191,0.2803039199999999,0.0026884606064474944,0.0,0.25,0.3,0.14172701893064607,pair5_evolcodellama_toolace,tmath
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/tmath,1,300,0.3561504766666666,0.2803039199999999,0.3709790066666667,0.612510206666667,-0.014828529999999998,-0.3322062866666671,0.6,0.6,0.0,pair5_evolcodellama_toolace,tmath
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/countries,1,200,0.515,0.35294440500000007,0.41933205050415295,0.35294440500000007,0.09566794949584705,0.0,0.3,0.35,0.528185392371584,pair6_llama32_abliterated_deepseek3b,countries
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/countries,1,200,0.515,0.35294440500000007,0.545,0.5173858350000009,-0.03,-0.16444143000000083,0.5,0.5,0.0,pair6_llama32_abliterated_deepseek3b,countries
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/tipsheets,1,500,0.43,0.23698031599999972,0.401539212556026,0.23698031599999972,0.028460787443973998,0.0,0.2,0.25,0.17310039237581262,pair6_llama32_abliterated_deepseek3b,tipsheets
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/tipsheets,1,500,0.43,0.23698031599999972,0.694,0.6142487740000001,-0.264,-0.3772684580000004,0.6,0.6,0.0,pair6_llama32_abliterated_deepseek3b,tipsheets
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/hotpotqa,1,500,0.484,0.2530156239999998,0.5312472560492151,0.2530156239999998,-0.04724725604921505,0.0,0.2,0.25,0.5053751315046751,pair6_llama32_abliterated_deepseek3b,hotpotqa
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/hotpotqa,1,500,0.484,0.2530156239999998,0.696,0.6144441159999993,-0.212,-0.3614284919999995,0.6,0.6,0.0,pair6_llama32_abliterated_deepseek3b,hotpotqa
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/qasper,1,500,0.302,0.40393804800000005,0.2978237282710673,0.4039380480000001,0.004176271728932685,-5.551115123125783e-17,0.35,0.4,0.6372880451778858,pair6_llama32_abliterated_deepseek3b,qasper
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/qasper,1,500,0.302,0.40393804800000005,0.308,0.5178685359999988,-0.006,-0.11393048799999878,0.5,0.5,0.0,pair6_llama32_abliterated_deepseek3b,qasper
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/musique,1,500,0.314,0.2518589280000003,0.2877200596208015,0.2518589280000003,0.026279940379198542,0.0,0.2,0.25,0.48250372630009103,pair6_llama32_abliterated_deepseek3b,musique
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/musique,1,500,0.314,0.2518589280000003,0.404,0.6142847919999999,-0.09,-0.36242586399999954,0.6,0.6,0.0,pair6_llama32_abliterated_deepseek3b,musique
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/multifieldqa_en,1,150,0.5066666666666667,0.3948470466666666,0.5043586199462705,0.3948470466666666,0.0023080467203961605,0.0,0.35,0.4,0.44873566935314135,pair6_llama32_abliterated_deepseek3b,multifieldqa_en
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/multifieldqa_en,1,150,0.5066666666666667,0.3948470466666666,0.54,0.32499991999999994,-0.03333333333333333,0.06984712666666665,0.3,0.3,0.0,pair6_llama32_abliterated_deepseek3b,multifieldqa_en
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/twowikimqa,1,200,0.395,0.39988733500000007,0.39776609449869216,0.39988733500000007,-0.0027660944986921676,0.0,0.35,0.4,0.5532188997384336,pair6_llama32_abliterated_deepseek3b,twowikimqa
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/twowikimqa,1,200,0.395,0.39988733500000007,0.415,0.5178631600000013,-0.02,-0.11797582500000126,0.5,0.5,0.0,pair6_llama32_abliterated_deepseek3b,twowikimqa
per_cell_budget_matched_fixed,pair6_llama32_abliterated_deepseek3b/tmath,1,300,0.3260990933333333,0.25106460999999997,0.32324579411932786,0.25106460999999997,0.002853299214005364,0.0,0.2,0.25,0.46654890154314765,pair6_llama32_abliterated_deepseek3b,tmath
per_cell_best_fixed_unmatched,pair6_llama32_abliterated_deepseek3b/tmath,1,300,0.3260990933333333,0.25106460999999997,0.3379325466666664,0.614296603333333,-0.011833453333333334,-0.36323199333333306,0.6,0.6,0.0,pair6_llama32_abliterated_deepseek3b,tmath
per_cell_budget_matched_fixed,pair7_qwen25_uncensored_bespoke/countries,1,200,0.485,0.4008138700000001,0.41247229076071223,0.4008138700000001,0.07252770923928781,0.0,0.35,0.4,0.5679299160064745,pair7_qwen25_uncensored_bespoke,countries
per_cell_best_fixed_unmatched,pair7_qwen25_uncensored_bespoke/countries,1,200,0.485,0.4008138700000001,0.5,0.5167529750000006,-0.015,-0.11593910500000049,0.5,0.5,0.0,pair7_qwen25_uncensored_bespoke,countries
per_cell_budget_matched_fixed,pair7_qwen25_uncensored_bespoke/tipsheets,1,500,0.916,0.39804663599999973,0.9051050448740445,0.39804663599999973,0.01089495512595554,0.0,0.35,0.4,0.5175074790074097,pair7_qwen25_uncensored_bespoke,tipsheets
per_cell_best_fixed_unmatched,pair7_qwen25_uncensored_bespoke/tipsheets,1,500,0.916,0.39804663599999973,0.95,0.6143386320000007,-0.034,-0.21629199600000099,0.6,0.6,0.0,pair7_qwen25_uncensored_bespoke,tipsheets
per_cell_budget_matched_fixed,pair7_qwen25_uncensored_bespoke/hotpotqa,1,500,0.352,0.38534502800000026,0.38461656351772694,0.38534502800000026,-0.03261656351772692,0.0,0.35,0.4,0.25448321222026604,pair7_qwen25_uncensored_bespoke,hotpotqa
per_cell_best_fixed_unmatched,pair7_qwen25_uncensored_bespoke/hotpotqa,1,500,0.352,0.38534502800000026,0.466,0.6143471200000005,-0.114,-0.2290020920000002,0.6,0.6,0.0,pair7_qwen25_uncensored_bespoke,hotpotqa
per_cell_budget_matched_fixed,pair7_qwen25_uncensored_bespoke/qasper,1,500,0.172,0.36837178999999987,0.19539745198411998,0.36837178999999987,-0.023397451984119955,0.0,0.3,0.35,0.8995753306866591,pair7_qwen25_uncensored_bespoke,qasper
per_cell_best_fixed_unmatched,pair7_qwen25_uncensored_bespoke/qasper,1,500,0.172,0.36837178999999987,0.22,0.5178658039999989,-0.048,-0.14949401399999906,0.5,0.5,0.0,pair7_qwen25_uncensored_bespoke,qasper
per_cell_budget_matched_fixed,pair7_qwen25_uncensored_bespoke/musique,1,500,0.224,0.34411705199999976,0.24270467752001407,0.34411705199999976,-0.018704677520014045,0.0,0.3,0.35,0.3977304171431916,pair7_qwen25_uncensored_bespoke,musique
per_cell_best_fixed_unmatched,pair7_qwen25_uncensored_bespoke/musique,1,500,0.224,0.34411705199999976,0.332,0.6142829579999993,-0.108,-0.27016590599999957,0.6,0.6,0.0,pair7_qwen25_uncensored_bespoke,musique
per_cell_budget_matched_fixed,pair7_qwen25_uncensored_bespoke/multifieldqa_en,1,150,0.31333333333333335,0.35847211333333345,0.3892543125742141,0.35847211333333345,-0.07592097924088079,0.0,0.3,0.35,0.694073443066059,pair7_qwen25_uncensored_bespoke,multifieldqa_en
per_cell_best_fixed_unmatched,pair7_qwen25_uncensored_bespoke/multifieldqa_en,1,150,0.31333333333333335,0.35847211333333345,0.41333333333333333,0.6142888400000002,-0.1,-0.2558167266666667,0.6,0.6,0.0,pair7_qwen25_uncensored_bespoke,multifieldqa_en
