pair,task_type,dataset,method,n,score_mean,run_dir
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,ReKV-w8 r=0.7,500,0.384,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w8_r0.7_0625_1500
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,ReKV-w16 r=0.5,500,0.39,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w16_r0.5_0625_1508
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,ReKV-w8 r=0.5,500,0.384,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w8_r0.5_0625_1456
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,ReKV-w16 r=0.7,500,0.396,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w16_r0.7_0625_1513
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,ReKV-w8 r=0.3,500,0.362,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w8_r0.3_0625_1452
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.98 s=0.75 w8,500,0.374,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.75_w8_0702_1711
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.98 s=0.85 w16,500,0.394,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.85_w16_0702_1748
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.65 w16,500,0.36,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.65_w16_0702_1729
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.75 w16,500,0.358,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w16_0702_1733
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.75 w8,500,0.384,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w8_0625_1517
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.98 s=0.65 w8,500,0.378,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.65_w8_0702_1708
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.98 s=0.85 w8,500,0.388,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.85_w8_0702_1715
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.65 w8,500,0.376,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.65_w8_0702_1705
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.85 w16,500,0.362,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.85_w16_0702_1737
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.90 w16,500,0.368,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.90_w16_0625_1525
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.98 s=0.65 w16,500,0.38,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.65_w16_0702_1740
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.95 s=0.85 w8,500,0.37,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.85_w8_0625_1521
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.90 s=0.65 w8,500,0.324,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.65_w8_0702_1655
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.90 s=0.75 w8,500,0.33,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.75_w8_0702_1658
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.90 s=0.65 w16,500,0.324,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.65_w16_0702_1718
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.98 s=0.75 w16,500,0.392,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.75_w16_0702_1744
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.90 s=0.85 w8,500,0.344,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.85_w8_0702_1702
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.90 s=0.75 w16,500,0.338,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.75_w16_0702_1721
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,B-ReKV t=0.90 s=0.85 w16,500,0.348,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.85_w16_0702_1725
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,ReKV-w8 r=0.7,500,0.31,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w8_r0.7_0625_1708
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,ReKV-w16 r=0.7,500,0.306,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w16_r0.7_0625_1736
table1_pair6_llama32_abliterated_deepseek3b,long_document,qasper,ReKV-w16 r=0.3,500,0.316,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w16_r0.3_0625_1718
