dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
qasper,B-ReKV t=0.95 s=0.90 w16,495,0.325253,0.343084,0.343084,180.699,4854.242424,39.452525,12.838384,0.409781,0.071596,0.491608,0.995529,14.436998,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/coverage/cov_t0.95_s0.90_w16_cost_0702_1549
qasper,KVComm top=0.3,495,0.092929,0.28589,0.28589,151.773,4854.242424,39.452525,28.583838,0.409082,0.0,1.266,1.70118,14.031987,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/kvcomm/kvcomm_top0.3_cost_0702_1407
qasper,KVComm top=0.5,495,0.278788,0.500123,0.500123,265.521,4854.242424,39.452525,20.844444,0.40909,0.0,0.853688,1.283457,14.259593,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/kvcomm/kvcomm_top0.5_cost_0702_1422
qasper,KVComm top=0.7,495,0.286869,0.678651,0.678651,360.311,4854.242424,39.452525,18.676768,0.412547,0.0,1.031319,1.473384,14.449852,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/kvcomm/kvcomm_top0.7_cost_0702_1433
qasper,ReKV-w16 r=0.3,495,0.317172,0.325006,0.325006,172.555,4854.242424,39.452525,12.662626,0.409217,0.061849,0.470491,0.960446,14.427916,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/mtc_receiver/recv_w16_r0.3_cost_0702_1520
qasper,ReKV-w8 r=0.3,495,0.307071,0.325006,0.325006,172.555,4854.242424,39.452525,12.933333,0.411877,0.085722,0.668425,1.197121,14.427916,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/mtc_receiver/recv_w8_r0.3_cost_0702_1509
qasper,evict_r0.3_cost_0702_1447,495,0.212121,0.325006,0.325006,172.555,4854.242424,39.452525,12.323232,0.41458,0.0,0.763454,1.213336,13.885087,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/mtc_evict/evict_r0.3_cost_0702_1447
qasper,random_r0.3_cost_0702_1458,495,0.230303,0.325006,0.325006,172.555,4854.242424,39.452525,13.119192,0.413231,0.0,0.871989,1.321349,13.885181,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/mtc_random/random_r0.3_cost_0702_1458
tipsheets,B-ReKV t=0.95 s=0.75 w8,495,0.412121,0.196133,0.196133,1.962,92.030303,67.969697,3.383838,0.04028,0.068552,0.159087,0.269466,12.056307,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/coverage/cov_t0.95_s0.75_w8_cost_0702_1327
tipsheets,B-ReKV t=0.95 s=0.85 w8,495,0.414141,0.210888,0.210888,2.11,92.030303,67.969697,3.575758,0.03752,0.063186,0.154997,0.257249,12.056307,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/coverage/cov_t0.95_s0.85_w8_cost_0702_1330
tipsheets,B-ReKV t=0.95 s=0.90 w16,495,0.470707,0.27644,0.27644,2.773,92.030303,67.969697,3.814141,0.040365,0.06679,0.175042,0.283784,12.056307,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/coverage/cov_t0.95_s0.90_w16_cost_0702_1333
tipsheets,KVComm top=0.3,495,0.426263,0.328888,0.328888,3.31,92.030303,67.969697,3.941414,0.039585,0.0,0.169831,0.210958,12.046296,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/kvcomm/kvcomm_top0.3_cost_0702_1309
tipsheets,KVComm top=0.5,495,0.806061,0.505496,0.505496,5.088,92.030303,67.969697,3.957576,0.037896,0.0,0.161736,0.201219,12.048032,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/kvcomm/kvcomm_top0.5_cost_0702_1312
tipsheets,KVComm top=0.7,495,0.806061,0.682105,0.682105,6.866,92.030303,67.969697,3.961616,0.035315,0.0,0.150889,0.187732,12.050081,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/kvcomm/kvcomm_top0.7_cost_0702_1314
tipsheets,ReKV-w16 r=0.3,495,0.484848,0.324976,0.324976,3.271,92.030303,67.969697,3.858586,0.040106,0.058794,0.176409,0.276762,12.056307,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/mtc_receiver/recv_w16_r0.3_cost_0702_1324
tipsheets,ReKV-w8 r=0.3,495,0.488889,0.324976,0.324976,3.271,92.030303,67.969697,3.860606,0.041101,0.060013,0.180163,0.282958,12.056307,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/mtc_receiver/recv_w8_r0.3_cost_0702_1321
tipsheets,evict_r0.3_cost_0702_1316,495,0.440404,0.324976,0.324976,3.271,92.030303,67.969697,3.472727,0.036476,0.0,0.147295,0.185282,12.035357,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/mtc_evict/evict_r0.3_cost_0702_1316
tipsheets,random_r0.3_cost_0702_1318,495,0.387879,0.324976,0.324976,3.271,92.030303,67.969697,3.533333,0.041154,0.0,0.167634,0.210285,12.035357,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tipsheets/mtc_random/random_r0.3_cost_0702_1318
tmath,B-ReKV t=0.95 s=0.75 w8,295,0.316685,0.218077,0.218077,4.667,196.528814,93.067797,254.067797,0.035905,0.05678,8.586601,8.68168,12.133511,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/coverage/cov_t0.95_s0.75_w8_cost_0702_2316
tmath,B-ReKV t=0.95 s=0.85 w8,295,0.319735,0.240073,0.240073,5.143,196.528814,93.067797,254.250847,0.033622,0.054744,8.326968,8.41749,12.134176,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/coverage/cov_t0.95_s0.85_w8_cost_0703_0000
tmath,B-ReKV t=0.95 s=0.90 w16,295,0.317328,0.271441,0.271441,5.867,196.528814,93.067797,253.630508,0.033336,0.053889,8.165284,8.25462,12.135306,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/coverage/cov_t0.95_s0.90_w16_cost_0703_0043
tmath,KVComm top=0.3,295,0.326127,0.325143,0.325143,6.983,196.528814,93.067797,253.894915,0.034167,0.0,8.232837,8.269197,12.129108,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/kvcomm/kvcomm_top0.3_cost_0702_1748
tmath,KVComm top=0.5,295,0.327174,0.502737,0.502737,10.802,196.528814,93.067797,254.247458,0.048135,0.0,10.847336,10.899956,12.136347,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/kvcomm/kvcomm_top0.5_cost_0702_1830
tmath,KVComm top=0.7,295,0.330338,0.680331,0.680331,14.621,196.528814,93.067797,254.8,0.033055,0.0,8.315747,8.350882,12.143617,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/kvcomm/kvcomm_top0.7_cost_0702_1926
tmath,ReKV-w16 r=0.3,295,0.316392,0.32486,0.32486,6.983,196.528814,93.067797,253.779661,0.038052,0.052675,8.980082,9.073927,12.136513,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/mtc_receiver/recv_w16_r0.3_cost_0702_2229
tmath,ReKV-w8 r=0.3,295,0.317186,0.32486,0.32486,6.983,196.528814,93.067797,253.481356,0.036123,0.051486,8.762488,8.852776,12.136468,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/tmath/mtc_receiver/recv_w8_r0.3_cost_0702_2144
