pair,task,method,config,window,ratio,tau,scale,n,score,budget,protocol_version,path
pair1_llama31_same,hotpotqa,coverage,B-ReKV-t0.90-s0.95-w8,8,,0.9,0.95,100,0.39,0.20283858,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/coverage/brekv_t0.90_s0.95_w8_0712_2235
pair1_llama31_same,hotpotqa,coverage,B-ReKV-t0.95-s0.85-w8,8,,0.95,0.85,100,0.6,0.30557641,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/coverage/brekv_t0.95_s0.85_w8_0712_2236
pair1_llama31_same,hotpotqa,coverage,B-ReKV-t0.95-s0.95-w8,8,,0.95,0.95,100,0.65,0.3370308,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/coverage/brekv_t0.95_s0.95_w8_0712_2237
pair1_llama31_same,hotpotqa,coverage,B-ReKV-t0.95-s1.00-w8,8,,0.95,1.0,100,0.67,0.35296949,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/coverage/brekv_t0.95_s1.00_w8_0712_2238
pair1_llama31_same,hotpotqa,coverage,B-ReKV-t0.98-s0.95-w8,8,,0.98,0.95,100,0.71,0.54983292,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/coverage/brekv_t0.98_s0.95_w8_0712_2238
pair1_llama31_same,hotpotqa,coverage,B-ReKV-t0.98-s1.00-w8,8,,0.98,1.0,100,0.73,0.57206268,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/coverage/brekv_t0.98_s1.00_w8_0712_2239
pair1_llama31_same,hotpotqa,fixed,ReKV-w8-r0.20,8,0.2,,,100,0.5,0.22527377999999998,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/fixed/rekv_w8_r0.20_0712_2113
pair1_llama31_same,hotpotqa,fixed,ReKV-w8-r0.25,8,0.25,,,100,0.56,0.27363978,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/fixed/rekv_w8_r0.25_0712_2115
pair1_llama31_same,hotpotqa,fixed,ReKV-w8-r0.30,8,0.3,,,100,0.62,0.32210465,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/fixed/rekv_w8_r0.30_0712_2116
pair1_llama31_same,hotpotqa,fixed,ReKV-w8-r0.35,8,0.35,,,100,0.7,0.37063532000000005,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/fixed/rekv_w8_r0.35_0712_2117
pair1_llama31_same,hotpotqa,fixed,ReKV-w8-r0.40,8,0.4,,,100,0.72,0.41886744,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/hotpotqa/fixed/rekv_w8_r0.40_0712_2118
