policy,pair,task,selected_ratio,score,actual_budget,total_bytes,a_to_b_bytes,b_to_a_bytes,per_task_best_score,relative_per_task_best_regret
Fixed 0.4,pair2_llama32_same,multifieldqa_en,0.4,0.52,0.4214407666666667,338867741.3333333,337491029.3333333,1376712.0,0.52,0.0
Fixed 0.4,pair2_llama32_same,twowikimqa,0.4,0.395,0.42143406499999997,349786178.0,348409466.0,1376712.0,0.4,0.012500000000000011
Fixed 0.4,pair2_llama32_same,tmath,0.4,0.34850065333333335,0.4214184733333334,12133397.666666666,10756685.666666666,1376712.0,0.3601894133333333,0.032451703374143125
Fixed 0.4,pair3_qwen25_7b_same,countries,0.4,0.195,0.4216548849999999,3057594.42,1451506.42,1606088.0,0.365,0.4657534246575342
Fixed 0.4,pair3_qwen25_7b_same,tipsheets,0.4,0.912,0.42137579399999997,4340892.648,2734804.648,1606088.0,0.934,0.02355460385438974
Fixed 0.4,pair3_qwen25_7b_same,hotpotqa,0.4,0.554,0.42136726599999996,4997581.896,3391493.896,1606088.0,0.652,0.15030674846625763
Fixed 0.4,pair3_qwen25_7b_same,qasper,0.4,0.308,0.4214225,122386358.208,120780270.208,1606088.0,0.336,0.0833333333333334
Fixed 0.4,pair3_qwen25_7b_same,musique,0.4,0.33,0.421431432,11032169.16,9426081.16,1606088.0,0.372,0.11290322580645157
Fixed 0.4,pair3_qwen25_7b_same,multifieldqa_en,0.4,0.5266666666666666,0.42142562,175972428.48,174366340.48,1606088.0,0.5266666666666666,0.0
Fixed 0.4,pair3_qwen25_7b_same,twowikimqa,0.4,0.435,0.42144011500000006,185003294.16,183397206.16,1606088.0,0.46,0.05434782608695657
Fixed 0.4,pair3_qwen25_7b_same,tmath,0.4,0.31300894999999995,0.42133038,6890193.48,5284105.48,1606088.0,0.3214439,0.026240815271343
Fixed 0.4,pair4_falcon3_7b_same,countries,0.4,0.31,0.421753535,3328080.5,1951368.5,1376712.0,0.405,0.23456790123456794
Fixed 0.4,pair4_falcon3_7b_same,tipsheets,0.4,0.854,0.421542282,6043432.6,4666720.6,1376712.0,0.928,0.07974137931034489
Fixed 0.4,pair4_falcon3_7b_same,hotpotqa,0.4,0.522,0.4215907099999999,7338524.2,5961812.2,1376712.0,0.6,0.12999999999999995
Fixed 0.4,pair4_falcon3_7b_same,qasper,0.4,0.216,0.42142705,250350575.4,248973863.4,1376712.0,0.238,0.09243697478991593
Fixed 0.4,pair4_falcon3_7b_same,musique,0.4,0.34,0.42146238399999997,19309663.2,17932951.2,1376712.0,0.402,0.15422885572139303
Fixed 0.4,pair4_falcon3_7b_same,multifieldqa_en,0.4,0.43333333333333335,0.42142386000000004,364043600.0,362666888.0,1376712.0,0.43333333333333335,0.0
Fixed 0.4,pair4_falcon3_7b_same,twowikimqa,0.4,0.385,0.42143502,369455169.5,368078457.5,1376712.0,0.4,0.03750000000000003
Fixed 0.4,pair4_falcon3_7b_same,tmath,0.4,0.30195972666666665,0.42142502000000004,11629029.333333334,10252317.333333334,1376712.0,0.30103694,-0.0030653602400644757
Fixed 0.4,pair5_evolcodellama_toolace,countries,0.4,0.535,0.41900885000000004,5711158.0,3613486.0,2097672.0,0.59,0.09322033898305075
Fixed 0.4,pair5_evolcodellama_toolace,tipsheets,0.4,0.914,0.418781966,8528997.8,6431325.8,2097672.0,0.916,0.00218340611353712
Fixed 0.4,pair5_evolcodellama_toolace,hotpotqa,0.4,0.558,0.418618034,9825836.0,7728164.0,2097672.0,0.608,0.08223684210526305
Fixed 0.4,pair5_evolcodellama_toolace,qasper,0.4,0.228,0.41874731200000004,271163714.6,269066042.6,2097672.0,0.24,0.04999999999999993
Fixed 0.4,pair5_evolcodellama_toolace,musique,0.4,0.294,0.41875447000000005,22850691.4,20753019.4,2097672.0,0.338,0.13017751479289952
Fixed 0.4,pair5_evolcodellama_toolace,multifieldqa_en,0.4,0.56,0.41876210666666663,385350248.0,383252576.0,2097672.0,0.56,0.0
Fixed 0.4,pair5_evolcodellama_toolace,twowikimqa,0.4,0.35,0.41875544500000006,397749140.0,395651468.0,2097672.0,0.39,0.10256410256410266
Fixed 0.4,pair5_evolcodellama_toolace,tmath,0.4,0.3651682333333333,0.41873979333333333,14312889.666666666,12215217.666666666,2097672.0,0.37097900666666667,0.015663348138064505
Fixed 0.4,pair6_llama32_abliterated_deepseek3b,countries,0.4,0.51,0.42187856500000004,3349216.0,1972504.0,1376712.0,0.545,0.06422018348623859
Fixed 0.4,pair6_llama32_abliterated_deepseek3b,tipsheets,0.4,0.544,0.421465634,5830609.8,4453897.8,1376712.0,0.694,0.21613832853025924
Fixed 0.4,pair6_llama32_abliterated_deepseek3b,hotpotqa,0.4,0.658,0.42127027999999994,6972632.0,5595920.0,1376712.0,0.696,0.05459770114942518
