pair,task,brekv_score,brekv_budget,best_rekv_score,best_rekv_budget,best_rekv_ratio,delta_vs_best,nearest_rekv_score,nearest_rekv_budget,nearest_ratio,delta_vs_nearest
pair3_qwen25_7b_same,countries,0.23,0.38494854499999986,0.365,0.6140593000000003,0.6,-0.13499999999999998,0.05,0.37341961999999973,0.35,0.18
pair3_qwen25_7b_same,hotpotqa,0.49,0.36186102599999986,0.652,0.6143471200000005,0.6,-0.16200000000000003,0.514,0.37304878599999963,0.35,-0.02400000000000002
pair3_qwen25_7b_same,multifieldqa_en,0.41333333333333333,0.33988730000000017,0.5266666666666666,0.42142562,0.4,-0.11333333333333329,0.47333333333333333,0.3250012266666666,0.3,-0.06
pair3_qwen25_7b_same,musique,0.234,0.3209176740000004,0.372,0.5178289699999992,0.5,-0.13799999999999998,0.288,0.32493689399999987,0.3,-0.053999999999999965
pair3_qwen25_7b_same,qasper,0.236,0.35022945199999994,0.336,0.614291873999999,0.6,-0.10000000000000003,0.282,0.37321389999999943,0.35,-0.045999999999999985
pair3_qwen25_7b_same,tipsheets,0.87,0.37128636200000026,0.934,0.6143386320000007,0.6,-0.06400000000000006,0.908,0.3730244579999994,0.35,-0.038000000000000034
pair3_qwen25_7b_same,tmath,0.3040080766666669,0.3630525066666668,0.3214439000000001,0.6143839933333337,0.6,-0.01743582333333321,0.3086818900000003,0.3733133133333333,0.35,-0.0046738133333333876
pair3_qwen25_7b_same,twowikimqa,0.405,0.31823836499999986,0.47,0.32500169000000023,0.3,-0.06499999999999995,0.47,0.32500169000000023,0.3,-0.06499999999999995
pair4_falcon3_7b_same,countries,0.25,0.43569405999999977,0.415,0.5182685900000006,0.5,-0.16499999999999998,0.31,0.42175353500000073,0.4,-0.06
pair4_falcon3_7b_same,hotpotqa,0.426,0.3392620719999996,0.6,0.6141236979999998,0.6,-0.174,0.446,0.32520604799999964,0.3,-0.020000000000000018
