pair,task,target_method,target_score,target_actual_budget,baseline_method,matched_baseline_score,score_delta,match_status,fixed_ratio_bracket
pair6_llama32_abliterated_deepseek3b,tipsheets,B-ReKV,0.43,0.23698031599999972,ValueNorm/Evict,0.377078425112052,0.05292157488794802,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,tipsheets,B-ReKV,0.43,0.23698031599999972,Random,0.37573100392375813,0.05426899607624186,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,tmath,B-ReKV,0.3260990933333333,0.25106460999999997,ReKV,0.3232457941193279,0.0028532992140054003,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,tmath,B-ReKV,0.3260990933333333,0.25106460999999997,ValueNorm/Evict,0.32931711301014444,-0.0032180196768111236,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,tmath,B-ReKV,0.3260990933333333,0.25106460999999997,Random,0.3238891202027039,0.002209973130629428,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,twowikimqa,B-ReKV,0.395,0.39988733500000007,ReKV,0.3977660944986922,-0.0027660944986921954,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,twowikimqa,B-ReKV,0.395,0.39988733500000007,ValueNorm/Evict,0.32106437799476867,0.07393562200523135,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,twowikimqa,B-ReKV,0.395,0.39988733500000007,Random,0.33212875598953734,0.06287124401046268,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,countries,B-ReKV,0.485,0.4008138700000001,ReKV,0.4124722907607122,0.07252770923928781,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,countries,B-ReKV,0.485,0.4008138700000001,ValueNorm/Evict,0.005,0.48,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,countries,B-ReKV,0.485,0.4008138700000001,Random,0.09567929916006475,0.38932070083993525,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV,0.352,0.38534502800000026,ReKV,0.38461656351772694,-0.03261656351772696,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV,0.352,0.38534502800000026,ValueNorm/Evict,0.1693407241287402,0.18265927587125977,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV,0.352,0.38534502800000026,Random,0.14614346279104853,0.20585653720895145,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV,0.31333333333333335,0.35847211333333345,ReKV,0.3892543125742141,-0.07592097924088076,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV,0.31333333333333335,0.35847211333333345,ValueNorm/Evict,0.09442960438930903,0.21890372894402432,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV,0.31333333333333335,0.35847211333333345,Random,0.15646911476886863,0.15686421856446472,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,musique,B-ReKV,0.224,0.34411705199999976,ReKV,0.24270467752001407,-0.018704677520014062,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,musique,B-ReKV,0.224,0.34411705199999976,ValueNorm/Evict,0.15393191251429572,0.07006808748570428,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,musique,B-ReKV,0.224,0.34411705199999976,Random,0.09438638250285915,0.12961361749714084,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,qasper,B-ReKV,0.172,0.36837178999999987,ReKV,0.19539745198411995,-0.023397451984119966,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,qasper,B-ReKV,0.172,0.36837178999999987,ValueNorm/Evict,0.06639320529098655,0.10560679470901344,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,qasper,B-ReKV,0.172,0.36837178999999987,Random,0.0730042466931334,0.09899575330686658,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,tipsheets,B-ReKV,0.916,0.39804663599999973,ReKV,0.9051050448740445,0.010894955125955508,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,tipsheets,B-ReKV,0.916,0.39804663599999973,ValueNorm/Evict,0.0019299700839703615,0.9140700299160297,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,tipsheets,B-ReKV,0.916,0.39804663599999973,Random,0.1071750747900741,0.808824925209926,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,tmath,B-ReKV,0.32942261333333334,0.39069366666666683,ReKV,0.33091778830264185,-0.0014951749693085103,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,tmath,B-ReKV,0.32942261333333334,0.39069366666666683,ValueNorm/Evict,0.32866676703790004,0.0007558462954332934,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,tmath,B-ReKV,0.32942261333333334,0.39069366666666683,Random,0.3307033881018434,-0.0012807747685100734,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,twowikimqa,B-ReKV,0.17,0.3416963749999999,ReKV,0.16365739138930321,0.006342608610696798,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,twowikimqa,B-ReKV,0.17,0.3416963749999999,ValueNorm/Evict,0.050194434833581936,0.11980556516641808,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,twowikimqa,B-ReKV,0.17,0.3416963749999999,Random,0.04173147827786065,0.12826852172213937,matched,0.3..0.35
