dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
tmath,ReKV-w8 r=0.7,295,0.355287,0.709326,0.709326,19.642,221.528814,118.067797,255.444068,0.064429,0.074501,12.15314,12.295972,30.149873,snapshots/cost_profile/pair1_llama31_same_all8_full/tmath/mtc_receiver/recv_w8_r0.7_cost_0701_0839
twowikimqa,B-ReKV t=0.95 s=0.75 w8,195,0.415385,0.181422,0.181422,158.428,7187.451282,73.789744,6.476923,1.289335,0.13412,0.310776,1.766739,33.716499,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/coverage/cov_t0.95_s0.75_w8_cost_0701_0152
twowikimqa,B-ReKV t=0.95 s=0.85 w8,195,0.415385,0.20127,0.20127,175.602,7187.451282,73.789744,6.671795,1.289127,0.15594,0.411696,1.896435,33.729454,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/coverage/cov_t0.95_s0.85_w8_cost_0701_0159
twowikimqa,KVComm top=0.3,195,0.297436,0.281382,0.281382,252.774,7187.451282,73.789744,7.389744,1.288759,0.0,0.422077,1.7533,33.176475,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/kvcomm/kvcomm_top0.3_cost_0701_0047
twowikimqa,KVComm top=0.5,195,0.379487,0.500092,0.500092,449.278,7187.451282,73.789744,6.589744,1.300573,0.0,0.739627,2.132888,33.577445,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/kvcomm/kvcomm_top0.5_cost_0701_0108
twowikimqa,KVComm top=0.7,195,0.405128,0.687557,0.687557,617.711,7187.451282,73.789744,6.364103,1.294895,0.0,0.411106,1.752463,33.921224,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/kvcomm/kvcomm_top0.7_cost_0701_0131
twowikimqa,ReKV-w16 r=0.3,195,0.415385,0.321878,0.321878,289.187,7187.451282,73.789744,5.953846,1.292019,0.134276,0.334776,1.798169,33.864312,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/mtc_receiver/recv_w16_r0.3_cost_0701_0101
twowikimqa,ReKV-w16 r=0.5,195,0.410256,0.515616,0.515616,463.249,7187.451282,73.789744,5.984615,1.293848,0.152312,0.400449,1.892914,34.081206,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/mtc_receiver/recv_w16_r0.5_cost_0701_0123
twowikimqa,ReKV-w16 r=0.7,195,0.425641,0.709375,0.709375,637.323,7187.451282,73.789744,5.958974,1.291773,0.133147,0.348458,1.807918,34.298105,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/mtc_receiver/recv_w16_r0.7_cost_0701_0145
twowikimqa,ReKV-w8 r=0.3,195,0.405128,0.321878,0.321878,289.187,7187.451282,73.789744,6.097436,1.292314,0.137658,0.336472,1.805784,33.864312,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/mtc_receiver/recv_w8_r0.3_cost_0701_0054
twowikimqa,ReKV-w8 r=0.5,195,0.405128,0.515616,0.515616,463.249,7187.451282,73.789744,6.010256,1.292063,0.127646,0.309559,1.765783,34.081206,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/mtc_receiver/recv_w8_r0.5_cost_0701_0116
twowikimqa,ReKV-w8 r=0.7,195,0.415385,0.709375,0.709375,637.323,7187.451282,73.789744,6.046154,1.293361,0.150333,0.449353,1.94513,34.298105,snapshots/cost_profile/pair1_llama31_same_all8_full/twowikimqa/mtc_receiver/recv_w8_r0.7_cost_0701_0138
