pair,pair_dir,task,brekv_score,actual_budget,matched_rekv,delta_rekv,matched_valuenorm,delta_valuenorm,matched_random,delta_random
#4,pair4_falcon3_7b_same,tipsheets,0.818,0.3280979540000002,0.6802971406110032,0.13770285938899673,0.6491405229477577,0.16885947705224225,0.6620401144636153,0.15595988553638462
#4,pair4_falcon3_7b_same,tmath,0.2966910866666668,0.2963569766666667,0.2944173387289162,0.0022737479377506475,0.2904370227375131,0.00625406392915373,0.2918391819591151,0.004851904707551702
#4,pair4_falcon3_7b_same,twowikimqa,0.31,0.14895055500000004,0.3319721821628888,-0.02197218216288882,0.28197218216288883,0.02802781783711117,0.2317430455407222,0.0782569544592778
#5,pair5_evolcodellama_toolace,countries,0.27,0.29510624999999996,0.26512901341813755,0.004870986581862469,0.2244331581921572,0.04556684180784282,0.030064506709068777,0.23993549329093125
#5,pair5_evolcodellama_toolace,hotpotqa,0.41,0.28858004399999987,0.454794041893025,-0.04479404189302505,0.3199115649907024,0.09008843500929758,0.13976448550698195,0.270235514493018
#5,pair5_evolcodellama_toolace,multifieldqa_en,0.54,0.35942132666666665,0.5140085454416329,0.025991454558367155,0.33265812122503374,0.2073418787749663,0.4280170908832658,0.11198290911673425
#5,pair5_evolcodellama_toolace,musique,0.25,0.3020290919999999,0.26936396695572007,-0.01936396695572007,0.1484550286275908,0.1015449713724092,0.08327318501561234,0.16672681498438766
#5,pair5_evolcodellama_toolace,qasper,0.222,0.38363950800000024,0.20770676660686038,0.01429323339313962,0.16825724993592184,0.053742750064078165,0.12335821659404475,0.09864178340595525
#5,pair5_evolcodellama_toolace,tipsheets,0.824,0.28952167600000006,0.689160975443289,0.13483902455671093,0.6318886302864328,0.19211136971356713,0.6006242401091173,0.22337575989088265
#5,pair5_evolcodellama_toolace,tmath,0.3561504766666666,0.2803039199999999,0.3534620160602191,0.002688460606447507,0.33824454704172696,0.017905929624939643,0.33599654955580327,0.020153927110863334
#5,pair5_evolcodellama_toolace,twowikimqa,0.335,0.37488859999999996,0.3590558125487453,-0.02405581254874528,0.28424884353064606,0.050751156469353964,0.24047209372562733,0.09452790627437269
#6,pair6_llama32_abliterated_deepseek3b,countries,0.515,0.35294440500000007,0.41933205050415295,0.09566794949584706,0.3732046348092896,0.1417953651907104,0.38292278088557374,0.13207721911442627
#6,pair6_llama32_abliterated_deepseek3b,hotpotqa,0.484,0.2530156239999998,0.5312472560492151,-0.04724725604921509,0.4265160126244488,0.05748398737555116,0.3361935047341683,0.14780649526583167
#6,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,0.5066666666666667,0.3948470466666666,0.5043586199462705,0.002308046720396195,0.39359080682785513,0.11307585983881158,0.40367509553764575,0.10299157112902096
#6,pair6_llama32_abliterated_deepseek3b,musique,0.314,0.2518589280000003,0.28772005962080144,0.026279940379198563,0.20254509688380237,0.11145490311619763,0.14151010433640254,0.17248989566359746
#6,pair6_llama32_abliterated_deepseek3b,qasper,0.302,0.40393804800000005,0.2978237282710673,0.004176271728932701,0.24056948917462503,0.06143051082537496,0.25562711954822115,0.04637288045177884
#6,pair6_llama32_abliterated_deepseek3b,tipsheets,0.43,0.23698031599999972,0.40153921255602604,0.028460787443973956,0.377078425112052,0.05292157488794802,0.37573100392375813,0.05426899607624186
#6,pair6_llama32_abliterated_deepseek3b,twowikimqa,0.395,0.39988733500000007,0.3977660944986922,-0.0027660944986921954,0.32106437799476867,0.07393562200523135,0.33212875598953734,0.06287124401046268
#7,pair7_qwen25_uncensored_bespoke,countries,0.485,0.4008138700000001,0.4124722907607122,0.07252770923928781,0.005,0.48,0.09567929916006475,0.38932070083993525
#7,pair7_qwen25_uncensored_bespoke,hotpotqa,0.352,0.38534502800000026,0.38461656351772694,-0.03261656351772696,0.1693407241287402,0.18265927587125977,0.14614346279104853,0.20585653720895145
#7,pair7_qwen25_uncensored_bespoke,musique,0.224,0.34411705199999976,0.24270467752001407,-0.018704677520014062,0.15393191251429572,0.07006808748570428,0.09438638250285915,0.12961361749714084
#7,pair7_qwen25_uncensored_bespoke,twowikimqa,0.17,0.3416963749999999,0.16365739138930321,0.006342608610696798,0.050194434833581936,0.11980556516641808,0.04173147827786065,0.12826852172213937
