pair,task,baseline_method,n,brekv_score,brekv_actual_budget,matched_baseline_score,score_delta,lower_ratio,upper_ratio,interpolation_weight,lower_actual_budget,upper_actual_budget
pair6_llama32_abliterated_deepseek3b,countries,ReKV,200,0.515,0.35294440500000007,0.41933205050415295,0.09566794949584706,0.3,0.35,0.528185392371584,0.3308946349999999,0.3726409050000001
pair6_llama32_abliterated_deepseek3b,countries,ValueNorm/Evict,200,0.515,0.35294440500000007,0.3732046348092896,0.1417953651907104,0.3,0.35,0.528185392371584,0.3308946349999999,0.3726409050000001
pair6_llama32_abliterated_deepseek3b,countries,Random,200,0.515,0.35294440500000007,0.38292278088557374,0.13207721911442627,0.3,0.35,0.528185392371584,0.3308946349999999,0.3726409050000001
pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV,500,0.484,0.2530156239999998,0.5312472560492151,-0.04724725604921509,0.2,0.25,0.5053751315046751,0.22860956400000024,0.2769025219999998
pair6_llama32_abliterated_deepseek3b,hotpotqa,ValueNorm/Evict,500,0.484,0.2530156239999998,0.4265160126244488,0.05748398737555116,0.2,0.25,0.5053751315046751,0.22860956400000024,0.2769025219999998
pair6_llama32_abliterated_deepseek3b,hotpotqa,Random,500,0.484,0.2530156239999998,0.3361935047341683,0.14780649526583167,0.2,0.25,0.5053751315046751,0.22860956400000024,0.2769025219999998
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV,150,0.5066666666666667,0.3948470466666666,0.5043586199462705,0.002308046720396195,0.35,0.4,0.44873566935314135,0.3731993199999999,0.42144092000000033
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ValueNorm/Evict,150,0.5066666666666667,0.3948470466666666,0.39359080682785513,0.11307585983881158,0.35,0.4,0.44873566935314135,0.3731993199999999,0.42144092000000033
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,Random,150,0.5066666666666667,0.3948470466666666,0.40367509553764575,0.10299157112902096,0.35,0.4,0.44873566935314135,0.3731993199999999,0.42144092000000033
pair6_llama32_abliterated_deepseek3b,musique,ReKV,500,0.314,0.2518589280000003,0.28772005962080144,0.026279940379198563,0.2,0.25,0.48250372630009103,0.22863367000000023,0.27676854799999984
pair6_llama32_abliterated_deepseek3b,musique,ValueNorm/Evict,500,0.314,0.2518589280000003,0.20254509688380237,0.11145490311619763,0.2,0.25,0.48250372630009103,0.22863367000000023,0.27676854799999984
pair6_llama32_abliterated_deepseek3b,musique,Random,500,0.314,0.2518589280000003,0.14151010433640254,0.17248989566359746,0.2,0.25,0.48250372630009103,0.22863367000000023,0.27676854799999984
pair6_llama32_abliterated_deepseek3b,qasper,ReKV,500,0.302,0.40393804800000005,0.2978237282710673,0.004176271728932701,0.35,0.4,0.6372880451778858,0.3732115859999999,0.421425987999999
pair6_llama32_abliterated_deepseek3b,qasper,ValueNorm/Evict,500,0.302,0.40393804800000005,0.24056948917462503,0.06143051082537496,0.35,0.4,0.6372880451778858,0.3732115859999999,0.421425987999999
pair6_llama32_abliterated_deepseek3b,qasper,Random,500,0.302,0.40393804800000005,0.25562711954822115,0.04637288045177884,0.35,0.4,0.6372880451778858,0.3732115859999999,0.421425987999999
pair6_llama32_abliterated_deepseek3b,tipsheets,ReKV,500,0.43,0.23698031599999972,0.40153921255602604,0.028460787443973956,0.2,0.25,0.17310039237581262,0.22869410200000034,0.276563514
pair6_llama32_abliterated_deepseek3b,tipsheets,ValueNorm/Evict,500,0.43,0.23698031599999972,0.377078425112052,0.05292157488794802,0.2,0.25,0.17310039237581262,0.22869410200000034,0.276563514
pair6_llama32_abliterated_deepseek3b,tipsheets,Random,500,0.43,0.23698031599999972,0.37573100392375813,0.05426899607624186,0.2,0.25,0.17310039237581262,0.22869410200000034,0.276563514
pair6_llama32_abliterated_deepseek3b,tmath,ReKV,300,0.3260990933333333,0.25106460999999997,0.3232457941193279,0.0028532992140054003,0.2,0.25,0.46654890154314765,0.228527876666667,0.27683306666666685
pair6_llama32_abliterated_deepseek3b,tmath,ValueNorm/Evict,300,0.3260990933333333,0.25106460999999997,0.32931711301014444,-0.0032180196768111236,0.2,0.25,0.46654890154314765,0.228527876666667,0.27683306666666685
pair6_llama32_abliterated_deepseek3b,tmath,Random,300,0.3260990933333333,0.25106460999999997,0.3238891202027039,0.002209973130629428,0.2,0.25,0.46654890154314765,0.228527876666667,0.27683306666666685
pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV,200,0.395,0.39988733500000007,0.3977660944986922,-0.0027660944986921954,0.35,0.4,0.5532188997384336,0.3732073549999997,0.4214341600000004
pair6_llama32_abliterated_deepseek3b,twowikimqa,ValueNorm/Evict,200,0.395,0.39988733500000007,0.32106437799476867,0.07393562200523135,0.35,0.4,0.5532188997384336,0.3732073549999997,0.4214341600000004
pair6_llama32_abliterated_deepseek3b,twowikimqa,Random,200,0.395,0.39988733500000007,0.33212875598953734,0.06287124401046268,0.35,0.4,0.5532188997384336,0.3732073549999997,0.4214341600000004
